region,song_category,LocalStreams,TotalCategoryStreams,Ratio
Campania,Energetic/Emotional,289027,1542229,.2306
Lazio,Energetic/Emotional,399499,1542229,.3496
Liguria,Energetic/Emotional,471543,1542229,.4404
Lombardia,Energetic/Emotional,308891,1542229,.2504
Piemonte,Energetic/Emotional,35095,1542229,.0232
Sardegna,Energetic/Emotional,5629,1542229,.0036
Veneto,Energetic/Emotional,32545,1542229,.0215
Campania,Energetic/Party,187152,3004913,.0664
Lazio,Energetic/Party,438212,3004913,.1707
Liguria,Energetic/Party,692646,3004913,.2995
Lombardia,Energetic/Party,1512278,3004913,1.0131
Piemonte,Energetic/Party,101007,3004913,.0347
Veneto,Energetic/Party,73618,3004913,.0251
Campania,Mellow/Bright,189824,1429359,.1531
Lazio,Mellow/Bright,210067,1429359,.1722
Liguria,Mellow/Bright,324125,1429359,.2932
Lombardia,Mellow/Bright,556074,1429359,.6367
Piemonte,Mellow/Bright,121345,1429359,.0927
Umbria,Mellow/Bright,6009,1429359,.0042
Veneto,Mellow/Bright,21915,1429359,.0155
Campania,Soft/Chill,5085,237991,.0218
Lazio,Soft/Chill,15782,237991,.0710
Lombardia,Soft/Chill,206598,237991,6.5810
Piemonte,Soft/Chill,10526,237991,.0462
