id_artist,Count_Trend,Count_Flop,Total_Songs,Trending_Percentage,Trending_Factor
ART61734477,1,0,7,.1428,1.0000
ART75741740,1,3,28,.0357,-.5000
ART59609037,1,1,7,.1428,.0000
ART20729624,1,1,3,.3333,.0000
ART57587384,3,0,15,.2000,1.0000
ART67409252,0,0,2,.0000,.0000
ART89596800,3,0,23,.1304,1.0000
ART52465778,1,1,7,.1428,.0000
ART98307962,0,0,1,.0000,.0000
ART02449272,2,3,7,.2857,-.2000
ART71969350,1,0,13,.0769,1.0000
ART04141409,5,0,31,.1612,1.0000
ART52349448,0,0,1,.0000,.0000
ART88026810,1,0,4,.2500,1.0000
ART46851094,1,0,3,.3333,1.0000
ART86549066,1,0,24,.0416,1.0000
ART05528539,1,1,9,.1111,.0000
ART85780419,6,5,25,.2400,.0909
ART19729064,1,1,7,.1428,.0000
ART08177154,1,0,12,.0833,1.0000
ART19605256,1,0,6,.1666,1.0000
ART85046033,5,0,27,.1851,1.0000
ART62385172,1,0,24,.0416,1.0000
ART24123617,2,2,10,.2000,.0000
