Featured_Artist,Count_Trend,Count_Flop,Total_Songs,id_main_artist,Trending_Percentage,Trending_Factor
Mostro,0,0,1,ART08177154,.0000,.0000
Emis Killa,0,1,1,ART85780419,.0000,-1.0000
Tony Effe,0,0,1,ART05528539,.0000,.0000
Yung Snapp,0,0,1,ART85046033,.0000,.0000
Ensi,0,0,1,ART19729064,.0000,.0000
Lazza,0,0,1,ART86549066,.0000,.0000
Night Skinny,1,0,1,ART89596800,1.0000,1.0000
Juli,0,0,1,ART52465778,.0000,.0000
CaneSecco,0,0,2,ART85046033,.0000,.0000
MadMan,1,0,5,ART85046033,.2000,1.0000
Tony Effe,0,0,1,ART85780419,.0000,.0000
Duellz,0,0,1,ART04141409,.0000,.0000
Juanfran,0,0,1,ART52465778,.0000,.0000
Kaos,0,0,1,ART57587384,.0000,.0000
NEXZ,0,0,1,ART88026810,.0000,.0000
Rizzo,0,0,1,ART86549066,.0000,.0000
Guè,0,0,1,ART86549066,.0000,.0000
Alex Guesta,1,0,1,ART04141409,1.0000,1.0000
Annalisa,0,0,1,ART08177154,.0000,.0000
Ernia,0,0,2,ART89596800,.0000,.0000
DrefGold,1,0,1,ART85780419,1.0000,1.0000
Spencer Washington,0,0,1,ART08177154,.0000,.0000
Enzo Dong,0,0,1,ART61734477,.0000,.0000
Mardial,0,0,1,ART04141409,.0000,.0000
Grido,0,0,1,ART75741740,.0000,.0000
Noyz Narcos,0,0,1,ART71969350,.0000,.0000
DJ Koma aka Mauràs,0,0,1,ART57587384,.0000,.0000
Westside Gunn,0,0,1,ART86549066,.0000,.0000
Massimo Pericolo,0,0,1,ART86549066,.0000,.0000
Ricardo,0,0,1,ART04141409,.0000,.0000
Hosawa,0,0,1,ART62385172,.0000,.0000
Lorenzo Fiore,0,0,1,ART19605256,.0000,.0000
Vaz Tè,0,0,1,ART46851094,.0000,.0000
Sebastian,0,0,1,ART85046033,.0000,.0000
Federica Abbate,0,0,1,ART85780419,.0000,.0000
MR Rizzus,0,0,1,ART62385172,.0000,.0000
Massimo Pericolo,0,1,1,ART85780419,.0000,-1.0000
NinjaTea,0,0,1,ART04141409,.0000,.0000
Canebullo,0,0,1,ART57587384,.0000,.0000
Duellz,0,0,2,ART86549066,.0000,.0000
Caneda,0,0,1,ART04141409,.0000,.0000
Guè,0,0,1,ART85046033,.0000,.0000
Elio Laurent,0,1,1,ART19729064,.0000,-1.0000
Aitch,0,0,1,ART88026810,.0000,.0000
L’Elfo,0,0,1,ART62385172,.0000,.0000
Cheree Price,0,0,1,ART08177154,.0000,.0000
Ntò,0,0,1,ART04141409,.0000,.0000
Disme,0,0,1,ART46851094,.0000,.0000
Rickman Manrick,0,0,1,ART19605256,.0000,.0000
DJ Lil Cut,0,0,1,ART57587384,.0000,.0000
Ensi,0,0,4,ART62385172,.0000,.0000
SANTI FRANCESI,0,0,1,ART57587384,.0000,.0000
Joe Barbieri,1,0,1,ART71969350,1.0000,1.0000
Mene,0,0,2,ART24123617,.0000,.0000
TOMMY DALI,0,0,1,ART89596800,.0000,.0000
Big Fish,0,0,1,ART67409252,.0000,.0000
Julia Lenti,0,0,1,ART04141409,.0000,.0000
Dargen DAmico,0,0,1,ART85780419,.0000,.0000
Rossella Essence,1,0,1,ART19605256,1.0000,1.0000
Melonie Daniels,0,0,1,ART08177154,.0000,.0000
SHADE,1,0,1,ART86549066,1.0000,1.0000
Lazza,0,0,1,ART62385172,.0000,.0000
Gorillaz,0,0,1,ART85046033,.0000,.0000
Neima Ezza,0,0,1,ART86549066,.0000,.0000
Tony Effe,1,0,2,ART61734477,.5000,1.0000
Michael Sorriso,0,0,1,ART57587384,.0000,.0000
?bnkr44,0,0,1,ART85780419,.0000,.0000
Heartman,0,0,1,ART62385172,.0000,.0000
Legion Elevators,0,0,1,ART62385172,.0000,.0000
RK (ITA,0,0,1,ART85780419,.0000,.0000
Mera (ITA,0,0,1,ART86549066,.0000,.0000
DJ DOPS,0,0,1,ART57587384,.0000,.0000
Egreen,0,0,1,ART62385172,.0000,.0000
Maruego,1,0,1,ART04141409,1.0000,1.0000
FT Kings,0,1,1,ART59609037,.0000,-1.0000
Jack The Smoker,0,0,2,ART62385172,.0000,.0000
